Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
Snaphunt,"Data Scientist
","['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(7 Reviews),"Poland, Hungary, Remote",Data SciencepythonMachine LearningMySQLJavaScriptSQLAWSSnowflake,https://www.naukri.com/job-listings-data-scientist-snaphunt-poland-hungary-remote-3-to-7-years-280722008837,https://www.ambitionbox.com/reviews/snaphunt-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Smartanalyst India Pvt Ltd,Data Scientist,"['RoleData Scientist', 'Industry TypeMedical Services / Hospital', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-12 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(67 Reviews),Gurgaon/Gurugram,Data ScienceRNlpLogistic RegressionData ScientistLinear RegressionBig DataText Mining,https://www.naukri.com/job-listings-data-scientist-smartanalyst-india-pvt-ltd-gurgaon-gurugram-7-to-12-years-291121501505,https://www.ambitionbox.com/reviews/smarte-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
AVE-Promagne,Data Scientist ( Product company/IIT/BITS),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Gurgaon/Gurugram, Delhi / NCR",analyticsRGitmachine learningdata transform in warehouseLookerSQLConfluence,https://www.naukri.com/job-listings-data-scientist-product-company-iit-bits-ave-promagne-gurgaon-gurugram-delhi-ncr-3-to-8-years-290722904864,
Seven Consultancy (HR Solution),Senior AI Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-4 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Chennai,Artificial IntelligenceConsultingConsultancyAnalytics,https://www.naukri.com/job-listings-senior-ai-data-scientist-seven-consultancy-hr-solution-chennai-3-to-4-years-290322500357,
Seven Consultancy (HR Solution),Senior AI Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,New Delhi,CArtificial IntelligenceAnalytics,https://www.naukri.com/job-listings-senior-ai-data-scientist-seven-consultancy-hr-solution-new-delhi-5-to-10-years-290322500137,
Resulticks,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,Avg. Salary - ₹10.2 Lakhs,UG :Any GraduatePG :MS/M.Sc(Science) in Any Specialization,,(7 Reviews),Chennai,IT SkillsPythonMachine LearningBig DataData analysisPrototypeAnalyticalPerl,https://www.naukri.com/job-listings-data-scientist-resulticks-chennai-5-to-10-years-280722501196,https://www.ambitionbox.com/reviews/resulticks-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Algo8,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-12 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5 Reviews),Noida,big data managementCAIdeep learningMLAzurerest APIcoding,https://www.naukri.com/job-listings-senior-data-scientist-algo8-noida-7-to-12-years-280622500489,https://www.ambitionbox.com/reviews/algo8-ai-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Seven Consultancy (HR Solution),Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Chennai,data scienceWorkflow managementOOPSMachine learningInfrastructureProgrammingData structuresData analytics,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501506,
Seven Consultancy (HR Solution),Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,New Delhi,data sciencebig data analyticsWorkflow managementConsultingMachine learningInfrastructureProgrammingData structures,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hr-solution-new-delhi-3-to-8-years-280322501505,
Seven Consultancy (HR Solution),Data Science Manager,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Chennai,data scienceWorkflow managementOOPSMachine learningInfrastructureProgrammingData structuresApache,https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501321,
Seven Consultancy (HR Solution),AI Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Chennai,CArtificial IntelligenceAnalytics,https://www.naukri.com/job-listings-ai-data-scientist-seven-consultancy-hr-solution-chennai-4-to-9-years-280322501243,
Kellton Tech Solutions,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(178 Reviews),Gurgaon/Gurugram,artificial intelligencealgorithmsAIdata structuresMLdata analysis,https://www.naukri.com/job-listings-data-scientist-kellton-tech-solutions-limited-gurgaon-gurugram-3-to-6-years-270622604722,https://www.ambitionbox.com/reviews/kellton-tech-solutions-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Motive,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeAdvertising & Marketing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Remote,Computer scienceStatistical programmingData analysisdata scienceMachine learningStatisticsSQLPython,https://www.naukri.com/job-listings-senior-data-scientist-motive-remote-4-to-7-years-270522500570,
Intuitive.Cloud,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4 Reviews),Remote,PythonGCPAzureGlueSQLAWSComputer scienceData analysis,https://www.naukri.com/job-listings-data-scientist-intuitive-cloud-remote-3-to-8-years-270122501344,https://www.ambitionbox.com/reviews/intuitive-dot-cloud-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Intuitive.Cloud,Sr. Cloud Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4 Reviews),Remote,IT SkillsPythonData ScienceMachine LearningCloudAWSAzureComputer science,https://www.naukri.com/job-listings-sr-cloud-data-scientist-intuitive-cloud-remote-3-to-5-years-270122501336,https://www.ambitionbox.com/reviews/intuitive-dot-cloud-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Ducen,Senior Data Scientist Lead,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,Not disclosed,,UG :Any Graduate,,(29 Reviews),Chennai,deep learningdata scientistmachine learningartificial intelligenceCassandraGGplotNumPyR,https://www.naukri.com/job-listings-senior-data-scientist-lead-ducen-it-private-limited-chennai-8-to-12-years-260722008538,https://www.ambitionbox.com/reviews/ducen-it-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Lakshmi North East Solutions,Data Scientist,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-9 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Production/Industrial, B.Com in Commerce, B.Sc in Chemistry, B.APG :M.Tech in Electronics/Telecommunication",,,Guwahati,Data analysisCoding Analystdata scienceAccountingApplication programmingData collectiondata visualizationPredictive analytics,https://www.naukri.com/job-listings-data-scientist-lakshmi-north-east-solutions-guwahati-3-to-9-years-260322500181,
Anicalls,AI Engineer- Predictive Modelling,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(2 Reviews),Noida,machine learningTeradata Data scienceTeradataRSQLPythonOraclestatistical modeling,https://www.naukri.com/job-listings-ai-engineer-predictive-modelling-anicalls-noida-5-to-10-years-250322500718,https://www.ambitionbox.com/reviews/anicalls-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
vDoIT Technologies Pvt. Ltd.,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(10 Reviews),Gurgaon/Gurugram,IT SkillsJavaPythonTestingMachine LearningJavascriptComputer scienceC++,https://www.naukri.com/job-listings-data-scientist-vdoit-technologies-pvt-ltd-gurgaon-gurugram-5-to-7-years-240122501520,https://www.ambitionbox.com/reviews/vdoit-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Royal Cyber,Data analytics Presale Lead,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(42 Reviews),Chennai,PythoncommunicationRmachine learningproject managementIT SkillsData ScienceBPO,https://www.naukri.com/job-listings-data-analytics-presale-lead-royal-cyber-private-limited-chennai-4-to-6-years-210722501798,https://www.ambitionbox.com/reviews/royal-cyber-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Jindal Intellicom Limited,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Production/IndustrialPG :M.Tech in Electronics/Telecommunication,,(624 Reviews),New Delhi,data gatheringdata scienceBudgetingAnalytics,https://www.naukri.com/job-listings-data-scientist-jindal-intellicom-limited-new-delhi-5-to-10-years-210622501232,https://www.ambitionbox.com/reviews/jindal-x-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VIAPROM Analytics,Data Scientist,"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,,"UG :B.A in Economics, Statistics, B.Sc in StatisticsPG :Any PostgraduateDoctorate :Doctorate Not Required",,,Kochi/Cochin,PythonEconometrics AnalysisData ScientistDecision TressTableauStatistical ModellingRisk ModelingMachine Learning,https://www.naukri.com/job-listings-data-scientist-viaprom-analytics-kochi-cochin-3-to-5-years-190722903077,
InfoCepts,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(108 Reviews),Remote,IT SkillsPythonData ScienceMachine LearningCloudAWSTableauStatistical programming,https://www.naukri.com/job-listings-senior-data-scientist-infocepts-remote-5-to-8-years-180722502407,https://www.ambitionbox.com/reviews/infocepts-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VALIANCE ANALYTICS PRIVATE LIMITED,Lead/Senior Data Scientist (Gurgaon Location)(4-7 yrs exp),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,,"UG :Any Graduate, B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Any Doctorate",,,Gurgaon/Gurugram,XgboostPythonIT SkillsData ScienceMachine LearningCloudClassificationSQL,https://www.naukri.com/job-listings-lead-senior-data-scientist-gurgaon-location-4-7-yrs-exp-valiance-analytics-private-limited-gurgaon-gurugram-4-to-6-years-180722011244,
Boomi,Associate Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(3 Reviews),remote,Pythondata scienceanalyticalartificial neuraldata miningpredictive modelingdecision tree learningverbal communication,https://www.naukri.com/job-listings-associate-data-scientist-boomi-remote-2-to-5-years-170622500060,https://www.ambitionbox.com/reviews/boomi-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Ignatiuz Software Pvt. Ltd,Data Scientist Level-2,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(20 Reviews),Indore,IT SkillsPythonData ScienceMachine LearningCloudBig DataAWSComputer science,https://www.naukri.com/job-listings-data-scientist-level-2-ignatiuz-software-pvt-ltd-indore-3-to-8-years-161221501503,https://www.ambitionbox.com/reviews/ignatiuz-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
"SAGE IT, INC",Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-7 Yrs ,Not disclosed,,UG :Any GraduatePG :M.Tech in Electronics/Telecommunication,,(29 Reviews),Remote,IT SkillsPythonSoftware DevelopmentTestingMachine LearningCloudAWSComputer science,https://www.naukri.com/job-listings-data-scientist-sage-it-inc-remote-3-to-7-years-161121501385,https://www.ambitionbox.com/reviews/sage-it-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
TeamPlus Staffing Solution Pvt Ltd,Data scientist- Python,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,"UG :Any Graduate, BCA in ComputersPG :MCA in Computers",,(4 Reviews),Gurgaon/Gurugram,deep learningdata scienceMachine learningBankingBusiness modelingStatisticsPython,https://www.naukri.com/job-listings-data-scientist-python-teamplus-staffing-solution-pvt-ltd-gurgaon-gurugram-3-to-6-years-160322500978,https://www.ambitionbox.com/reviews/teamplus-staffing-solution-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
The Smart Cube,"Senior Manager - Data Science, Pan India","['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-20 Yrs ,Not disclosed,Avg. Salary - ₹31.8 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(92 Reviews),remote,Computer scienceTelecomOperations researchTeam managementdata domainProject managementAnalyticalMachine learning,https://www.naukri.com/job-listings-senior-manager-data-science-pan-india-smart-cube-india-private-limited-remote-10-to-20-years-150322501203,https://www.ambitionbox.com/reviews/the-smart-cube-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Ivy Tech Solutions inc,Data Scientist,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,remote,writtenoral communicationstatistical analysismachine learningtroubleshootingdata analysisSQLanalytical,https://www.naukri.com/job-listings-data-scientist-ivy-tech-solutions-inc-remote-3-to-6-years-150322500278,
Ivy Tech Solutions inc,Data Scientist,"['RoleData Scientist', 'Industry TypeSoftware Product', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,remote,IT SkillsPythonData ScienceMachine LearningCloudProject ManagementAWSComputer science,https://www.naukri.com/job-listings-data-scientist-ivy-tech-solutions-inc-remote-3-to-6-years-150322500250,
Prime Search,Data Science - Trainer,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-9 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,Gurgaon/Gurugram,Trainingdeep learningdata scienceMachine learningdata visualizationBusiness intelligenceAnalyticsPython,https://www.naukri.com/job-listings-data-science-trainer-prime-search-gurgaon-gurugram-3-to-9-years-140622501981,
IBS Software Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,,"UG :B.Sc in Chemistry, B.A, Any GraduatePG :Any Postgraduate",,(368 Reviews),remote,TableauCJavaHadoopcommunicationAnalyticalRSQL,https://www.naukri.com/job-listings-data-scientist-ibs-software-remote-3-to-5-years-130622500517,https://www.ambitionbox.com/reviews/ibs-software-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VIAPROM Analytics,Data Scientist,"['RoleData Scientist', 'Industry TypeBanking', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,Kochi/Cochin,PythonCommunication skillsCHAIDrisk modellingTableauMLSQLCART,https://www.naukri.com/job-listings-data-scientist-viaprom-analytics-kochi-cochin-3-to-5-years-120722905562,
Genie Talk,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,Avg. Salary - ₹5.6 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(3 Reviews),Indore,IT SkillsPythonTestingData ScienceMachine LearningJenkinsAWSNlp,https://www.naukri.com/job-listings-data-scientist-genie-talk-indore-3-to-5-years-100122501253,https://www.ambitionbox.com/reviews/genietalk-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Impress AI,"DATA SCIENTIST,Pan India","['RoleData Scientist', 'Industry TypeInternet', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Production/Industrial, B.Sc in ChemistryPG :Any Postgraduate",,(4 Reviews),remote,Computer scienceCodingProduction operationsMachine learningData collectionAgileInternshipAnalytics,https://www.naukri.com/job-listings-data-scientist-pan-india-impress-ai-remote-2-to-7-years-090322501540,https://www.ambitionbox.com/reviews/impress-dot-ai-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Razor Group GmbH,Senior Data Science Manager - (f/m/x),"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5 Reviews),New Delhi,Computer scienceSQL queriesData analysisdata scienceMachine learningInstrumentationE-commerceInformation technology,https://www.naukri.com/job-listings-senior-data-science-manager-f-m-x-razor-group-gmbh-new-delhi-2-to-3-years-070622501441,https://www.ambitionbox.com/reviews/razor-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Razor Group GmbH,Senior BI Specialist - (f/m/x),"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-9 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5 Reviews),New Delhi,Computer scienceSQL queriesData analysistableaudata scienceInstrumentationE-commerceOperations,https://www.naukri.com/job-listings-senior-bi-specialist-f-m-x-razor-group-gmbh-new-delhi-5-to-9-years-070622501432,https://www.ambitionbox.com/reviews/razor-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Razor Group GmbH,Data Scientist,"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5 Reviews),New Delhi,Computer scienceSQL queriesData analysisMachine learningMarket segmentationInstrumentationE-commerceInformation technology,https://www.naukri.com/job-listings-data-scientist-razor-group-gmbh-new-delhi-2-to-3-years-070622501429,https://www.ambitionbox.com/reviews/razor-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Razor Group GmbH,Senior Data Scientist - Python (f/m/x),"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(5 Reviews),New Delhi,Computer scienceSQL queriesData analysisMachine learningMarket segmentationInstrumentationE-commerceInformation technology,https://www.naukri.com/job-listings-senior-data-scientist-python-f-m-x-razor-group-gmbh-new-delhi-5-to-10-years-070622501427,https://www.ambitionbox.com/reviews/razor-group-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Protocol Labs,Data Scientist,"['RoleData Scientist', 'Industry TypeAdvertising & Marketing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,remote,Computer scienceData analysisPublishingdata visualizationOpen sourceData miningCryptographyDistribution system,https://www.naukri.com/job-listings-data-scientist-protocol-labs-remote-3-to-7-years-070322500429,
Mindreamers,Data scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,PythonDeep LearningJenkinsJiraSQLGitprobabilistic modellingtuning,https://www.naukri.com/job-listings-data-scientist-mindreamers-bangalore-bengaluru-4-to-8-years-280722912068,
PlaceMinds Consulting Pvt. Ltd,"Consultant / Engagement Manager
","['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-11 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,PythonPowerBIOperations Researchstatistical modellingTableauEconometricsHealthcare analyticsMicrosoft Excel,https://www.naukri.com/job-listings-consultant-engagement-manager-placeminds-consulting-pvt-ltd-bangalore-bengaluru-6-to-11-years-280722911615,
Prime Infosoft,Principal Data Scientist - Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,"UG :BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not Required",,,Bangalore/Bengaluru,SparkMachine LearningStatisticsRPythonHadoopanalyticalJulia,https://www.naukri.com/job-listings-principal-data-scientist-machine-learning-prime-infosoft-bangalore-bengaluru-4-to-9-years-280722904527,
Valuable Consulting,Data Scientist ML and DL Electrification,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not Required,,,Bangalore/Bengaluru,Data ScientisttuningMatlabMachine LearningJenkinsprobabilistic modellingJiraSQL,https://www.naukri.com/job-listings-data-scientist-ml-and-dl-electrification-valuable-consulting-bangalore-bengaluru-4-to-9-years-250722903264,
Career Maker,Senior Manager/Operations Research Scientist - Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,"UG :Any GraduatePG :Any PostgraduateDoctorate :Ph.D/Doctorate in Statistics, Computers",,,Bangalore/Bengaluru,Machine LearningIT SkillsJavaPythonCPLEXMoselPerlMATLAB,https://www.naukri.com/job-listings-senior-manager-operations-research-scientist-machine-learning-career-maker-bangalore-bengaluru-5-to-10-years-230722904301,
FUTURES AND CAREERS,Deputy Manager Data Science,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,"15,00,000 - 25,00,000 PA.",,UG :Any Graduate,,,Bangalore/Bengaluru,PythonTableauQlik senseSparkQuick sightSQLPower BITensorFlow,https://www.naukri.com/job-listings-deputy-manager-data-science-futures-and-careers-bangalore-bengaluru-8-to-12-years-150722607565,
Symphoni HR Private Limited  ,Datascience Architect_Bangalore,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-11 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization",,,Bangalore/Bengaluru,Datascience ArchitectIT SkillsPythonMachine LearningBig DataTensorflowPytorchNLTK,https://www.naukri.com/job-listings-datascience-architect-bangalore-symphoni-hr-private-limited-bangalore-bengaluru-8-to-11-years-120722610109,
